id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
LV1.101 Load 1;LV1.101 Bus 10;L2-A;0.006;0.002371;0.00645161;LV1.101;7
LV1.101 Load 2;LV1.101 Bus 8;H0-C;0.003;0.001186;0.00322581;LV1.101;7
LV1.101 Load 3;LV1.101 Bus 14;L1-A;0.005;0.001976;0.00537634;LV1.101;7
LV1.101 Load 4;LV1.101 Bus 13;H0-B;0.002;0.00079;0.00215054;LV1.101;7
LV1.101 Load 5;LV1.101 Bus 9;L2-A;0.004;0.001581;0.00430108;LV1.101;7
LV1.101 Load 6;LV1.101 Bus 6;L1-A;0.003;0.001186;0.00322581;LV1.101;7
LV1.101 Load 7;LV1.101 Bus 3;L1-A;0.008;0.003162;0.00860215;LV1.101;7
LV1.101 Load 8;LV1.101 Bus 1;L2-A;0.014;0.005533;0.0150538;LV1.101;7
LV1.101 Load 9;LV1.101 Bus 7;L2-A;0.003;0.001186;0.00322581;LV1.101;7
LV1.101 Load 10;LV1.101 Bus 12;L1-A;0.012;0.004743;0.0129032;LV1.101;7
LV1.101 Load 11;LV1.101 Bus 11;H0-A;0.002;0.00079;0.00215054;LV1.101;7
LV1.101 Load 12;LV1.101 Bus 2;L1-A;0.004;0.001581;0.00430108;LV1.101;7
LV1.101 Load 13;LV1.101 Bus 5;L2-A;0.014;0.005533;0.0150538;LV1.101;7
