id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
LV1.101 Bus 1;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_0;LV1.101;7
LV1.101 Bus 2;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_1;LV1.101;7
LV1.101 Bus 3;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_2;LV1.101;7
LV1.101 Bus 4;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_3;LV1.101;7
LV1.101 Bus 5;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_4;LV1.101;7
LV1.101 Bus 6;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_5;LV1.101;7
LV1.101 Bus 7;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_6;LV1.101;7
LV1.101 Bus 8;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_7;LV1.101;7
LV1.101 Bus 9;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_8;LV1.101;7
LV1.101 Bus 10;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_9;LV1.101;7
LV1.101 Bus 11;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_10;LV1.101;7
LV1.101 Bus 12;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_11;LV1.101;7
LV1.101 Bus 13;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_12;LV1.101;7
LV1.101 Bus 14;busbar;NULL;NULL;0.4;0.9;1.1;NULL;coord_13;LV1.101;7
MV1.101 Bus 4;busbar;1.025;0.0;20;0.965;1.055;NULL;coord_14;MV1.101_LV1.101_Feeder1;5
